"","google_dir","data_file","curator_PersonName","curator_organization","curator_email","modification_date","bibliographical_reference","network","site_code","lat","long","elevation","map","mat","land_cover","eco_region","align_1","loc_comments","time_series","gradient","experiments","merge_align","key_version","L1","L1_level","L2","observation_date","veg_note_profile","lyr_c_tot","lyr_soc","lyr_n_tot","lyr_c_to_n","layer_top","layer_bot","layer_mid","hzn","bd_samp","ph_cacl","ph_h2o","sand","silt","clay","coarse_frac","caco3","Ca","Mg","K","Na","base_sum","ecec","bs","p_ex_1","soil_taxon","soil_series","layer_thick_calc","lyr_soc_stock_calc","lyr_n_stock_calc","control_sample","lyr_soc_stock_calc_sum","socfrac","socfrac_cumsum","bgb","bgb_lowerdiam","bgb_upperdiam","bgb_type","bgb_c","bgb_n","bgb_cn","bgb_c_stock","bgb_c_stock_sum","rootfrac","rootfrac_cumsum"
"1","NEON_megapitSOIL_all","megapit_soils_all","Samantha Weintraub","NEON - Battelle","sweintraub@battelleecology.org","2019-09-01","National Ecological Observatory Network. Provisional data downloaded from http://data.neonscience.org on 2019-09-12. Battelle, Boulder, CO, USA","NEON","BART",44.06516,-71.28834,284,1325.55,6.2,"forest","temperate deciduous forest","can align with megapit_root data by siteID, however depths are not identical","soil information collected by horizon","NO","NO","NO","YES","2","1_BARTLETT_PIT1","Plot","1_BARTLETT_PIT1_OE","2013-08-19","Fagus grandifolia, Tsuga canadensis, Acer pensylvanicum",44.75,44.8,1.82,24.6153846153846,0,3,1.5,"Oe",0.1059,3.4,4.5,34.3,53.9,11.8,0,NA,3104,465,5433,4890,14.1,15.8,21,0.942,"Aquic Haplorthods","Sunapee",3,1423.296,57.8214,"TRUE",16107.056,0.09,0.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","NEON_megapitSOIL_all","megapit_soils_all","Samantha Weintraub","NEON - Battelle","sweintraub@battelleecology.org","2019-09-01","National Ecological Observatory Network. Provisional data downloaded from http://data.neonscience.org on 2019-09-12. Battelle, Boulder, CO, USA","NEON","BART",44.06516,-71.28834,284,1325.55,6.2,"forest","temperate deciduous forest","can align with megapit_root data by siteID, however depths are not identical","soil information collected by horizon","NO","NO","NO","YES","2","1_BARTLETT_PIT1","Plot","1_BARTLETT_PIT1_A","2013-08-19","Fagus grandifolia, Tsuga canadensis, Acer pensylvanicum",38.57,38.6,1.5,25.7333333333333,3,5,4,"A",0.1658,3.1,3.8,46.8,47,6.2,9.2,NA,2124,191,8065,7122,5.4,9.8,8,0.712,"Aquic Haplorthods","Sunapee",2,1279.976,49.74,"TRUE",16107.056,0.08,0.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","NEON_megapitSOIL_all","megapit_soils_all","Samantha Weintraub","NEON - Battelle","sweintraub@battelleecology.org","2019-09-01","National Ecological Observatory Network. Provisional data downloaded from http://data.neonscience.org on 2019-09-12. Battelle, Boulder, CO, USA","NEON","BART",44.06516,-71.28834,284,1325.55,6.2,"forest","temperate deciduous forest","can align with megapit_root data by siteID, however depths are not identical","soil information collected by horizon","NO","NO","NO","YES","2","1_BARTLETT_PIT1","Plot","1_BARTLETT_PIT1_E","2013-08-19","Fagus grandifolia, Tsuga canadensis, Acer pensylvanicum",5.88,5.9,0.27,21.8518518518519,5,9,7,"E",0.565,4.1,5,59.3,37,3.7,14.1,NA,3679,475,22254,18886,0.4,3.4,3,0.254,"Aquic Haplorthods","Sunapee",4,1333.4,61.02,"TRUE",16107.056,0.08,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","NEON_megapitSOIL_all","megapit_soils_all","Samantha Weintraub","NEON - Battelle","sweintraub@battelleecology.org","2019-09-01","National Ecological Observatory Network. Provisional data downloaded from http://data.neonscience.org on 2019-09-12. Battelle, Boulder, CO, USA","NEON","BART",44.06516,-71.28834,284,1325.55,6.2,"forest","temperate deciduous forest","can align with megapit_root data by siteID, however depths are not identical","soil information collected by horizon","NO","NO","NO","YES","2","1_BARTLETT_PIT1","Plot","1_BARTLETT_PIT1_BS1","2013-08-19","Fagus grandifolia, Tsuga canadensis, Acer pensylvanicum",3.8,3.8,0.24,15.8333333333333,9,15,12,"Bs1",0.7032,4.8,5.4,61.8,34.6,3.6,27.8,NA,3832,352,24485,19966,0,NA,0,0.266,"Aquic Haplorthods","Sunapee",6,1603.296,101.2608,"TRUE",16107.056,0.1,0.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","NEON_megapitSOIL_all","megapit_soils_all","Samantha Weintraub","NEON - Battelle","sweintraub@battelleecology.org","2019-09-01","National Ecological Observatory Network. Provisional data downloaded from http://data.neonscience.org on 2019-09-12. Battelle, Boulder, CO, USA","NEON","BART",44.06516,-71.28834,284,1325.55,6.2,"forest","temperate deciduous forest","can align with megapit_root data by siteID, however depths are not identical","soil information collected by horizon","NO","NO","NO","YES","2","1_BARTLETT_PIT1","Plot","1_BARTLETT_PIT1_BS2","2013-08-19","Fagus grandifolia, Tsuga canadensis, Acer pensylvanicum",2.65,2.7,0.17,15.8823529411765,15,22,18.5,"Bs2",0.9176,4.8,5.4,63.3,32.9,3.8,25.9,NA,4214,439,26873,21949,0.1,0.9,2,0.206,"Aquic Haplorthods","Sunapee",7,1734.264,109.1944,"TRUE",16107.056,0.11,0.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","NEON_megapitSOIL_all","megapit_soils_all","Samantha Weintraub","NEON - Battelle","sweintraub@battelleecology.org","2019-09-01","National Ecological Observatory Network. Provisional data downloaded from http://data.neonscience.org on 2019-09-12. Battelle, Boulder, CO, USA","NEON","BART",44.06516,-71.28834,284,1325.55,6.2,"forest","temperate deciduous forest","can align with megapit_root data by siteID, however depths are not identical","soil information collected by horizon","NO","NO","NO","YES","2","1_BARTLETT_PIT1","Plot","1_BARTLETT_PIT1_BW","2013-08-19","Fagus grandifolia, Tsuga canadensis, Acer pensylvanicum",1.28,1.3,0.13,10,22,40,31,"Bw",0.9195,4.8,5.3,64.9,32.3,2.8,22,NA,4456,375,27376,22423,0,NA,1,0.141,"Aquic Haplorthods","Sunapee",18,2151.63,215.163,"TRUE",16107.056,0.13,0.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","NEON_megapitSOIL_all","megapit_soils_all","Samantha Weintraub","NEON - Battelle","sweintraub@battelleecology.org","2019-09-01","National Ecological Observatory Network. Provisional data downloaded from http://data.neonscience.org on 2019-09-12. Battelle, Boulder, CO, USA","NEON","BART",44.06516,-71.28834,284,1325.55,6.2,"forest","temperate deciduous forest","can align with megapit_root data by siteID, however depths are not identical","soil information collected by horizon","NO","NO","NO","YES","2","1_BARTLETT_PIT1","Plot","1_BARTLETT_PIT1_BC","2013-08-19","Fagus grandifolia, Tsuga canadensis, Acer pensylvanicum",0.88,0.9,0.08,11.25,40,73,56.5,"BC",1.2104,4.9,5.4,71.5,26.9,1.6,29.5,NA,4721,397,29895,24605,0.1,0.5,4,0.165,"Aquic Haplorthods","Sunapee",33,3594.888,319.5456,"TRUE",16107.056,0.22,0.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","NEON_megapitSOIL_all","megapit_soils_all","Samantha Weintraub","NEON - Battelle","sweintraub@battelleecology.org","2019-09-01","National Ecological Observatory Network. Provisional data downloaded from http://data.neonscience.org on 2019-09-12. Battelle, Boulder, CO, USA","NEON","BART",44.06516,-71.28834,284,1325.55,6.2,"forest","temperate deciduous forest","can align with megapit_root data by siteID, however depths are not identical","soil information collected by horizon","NO","NO","NO","YES","2","1_BARTLETT_PIT1","Plot","1_BARTLETT_PIT1_C1","2013-08-19","Fagus grandifolia, Tsuga canadensis, Acer pensylvanicum",0.2,0.2,0.05,4,73,140,106.5,"C1",1.5689,5,5.5,74.6,25.1,0.3,35.7,NA,5117,512,31911,26589,0.4,0.6,31,0.248,"Aquic Haplorthods","Sunapee",67,2102.326,525.5815,"TRUE",16107.056,0.13,0.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","NEON_megapitSOIL_all","megapit_soils_all","Samantha Weintraub","NEON - Battelle","sweintraub@battelleecology.org","2019-09-01","National Ecological Observatory Network. Provisional data downloaded from http://data.neonscience.org on 2019-09-12. Battelle, Boulder, CO, USA","NEON","BART",44.06516,-71.28834,284,1325.55,6.2,"forest","temperate deciduous forest","can align with megapit_root data by siteID, however depths are not identical","soil information collected by horizon","NO","NO","NO","YES","2","1_BARTLETT_PIT1","Plot","1_BARTLETT_PIT1_C2","2013-08-19","Fagus grandifolia, Tsuga canadensis, Acer pensylvanicum",0.12,0.1,0.09,1.11111111111111,140,200,170,"C2",1.4733,5.2,5.6,73.9,26.1,0,25.7,NA,5011,489,31768,25917,0.5,0.6,56,0.267,"Aquic Haplorthods","Sunapee",60,883.98,795.582,"TRUE",16107.056,0.05,0.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","NEON_megapitSOIL_all","megapit_soils_all","Samantha Weintraub","NEON - Battelle","sweintraub@battelleecology.org","2019-09-01","National Ecological Observatory Network. Provisional data downloaded from http://data.neonscience.org on 2019-09-12. Battelle, Boulder, CO, USA","NEON","HARV",42.53562,-72.17562,373,1199.61,7.4,"forest","temperate deciduous forest","can align with megapit_root data by siteID, however depths are not identical","soil information collected by horizon","NO","NO","NO","YES","2","1_HARVARD_PIT1","Plot","1_HARVARD_PIT1_OI","2012-07-17","Quercus rubra, Acer rubrum, Aralia nudicaulis",25.51,25.4,1.39,18.273381294964,0,4,2,"Oi",0.4608,3.5,4.6,53.3,31,15.7,0.6,1,5730,295,7556,7177,5,NA,9,1.492,"Oxyaquic Dystrudepts","Henniker - taxadjunct",4,4681.728,256.2048,"TRUE",19510.774,0.24,0.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
