siteID,Ecosystem.type,Ecoregion,Land.cover,Dominant.plants
HARV,Temperate deciduous forest,temperate broadleaf or mixed forest,forest,"Quercus rubra, Acer rubrum, Aralia nudicaulis"
BART,Temperate deciduous forest,temperate broadleaf or mixed forest,forest,"Fagus grandifolia, Tsuga canadensis, Acer pensylvanicum"
BLAN,Shrubland,"temperate grassland, savanna and shrubland",shrubland,"Rhamnus davurica, Lonicera maackii, Solidago altissima"
SCBI,Temperate deciduous forest,temperate broadleaf or mixed forest,forest,"Liriodendron tulipifera, Microstegium vimineum, Juglans nigra"
SERC,Temperate deciduous forest,temperate broadleaf or mixed forest,forest,"Liriodendron tulipifera, Fagus grandifolia, Lindera benzoin"
OSBS,Temperate coniferous forest,temperate coniferous forest,forest,"Quercus laevis, Pinus palustris, Aristida beyrichiana"
JERC,Temperate coniferous forest,temperate coniferous forest,forest,"Aristida beyrichiana, Pinus palustris, Quercus falcata"
DSNY,Grassland,"temperate grassland, savanna and shrubland",rangeland/grassland,"Andropogon virginicus, Aristida beyrichiana, Euthamia caroliniana"
GUAN,Tropical deciduous forest,tropical or subtropical moist broadleaf forest,forest,"Gymnanthes lucida, Pisonia albida, Bursera simaruba"
LAJA,Agricultural,"temperate grassland, savanna and shrubland",rangeland/grassland,"Pithecellobium dulce, Cynodon nlemfuensis, Urochloa maxima"
STEI,Temperate deciduous forest,temperate broadleaf or mixed forest,forest,"Populus tremuloides, Abies balsamea, Acer rubrum"
TREE,Temperate deciduous forest,temperate broadleaf or mixed forest,forest,"Acer saccharum, Acer rubrum, Abies balsamea"
UNDE,Temperate deciduous forest,temperate broadleaf or mixed forest,forest,"Acer saccharum, Populus tremuloides, Corylus cornuta"
KONZ,Grassland,"temperate grassland, savanna and shrubland",rangeland/grassland,"Schizachyrium scoparium, Andropogon gerardii, Sorghastrum nutans"
KONA,Agricultural,"temperate grassland, savanna and shrubland",cultivated,
UKFS,Temperate deciduous forest,temperate broadleaf or mixed forest,forest,"Symphoricarpos orbiculatus, Celtis occidentalis, Carya ovata"
ORNL,Temperate deciduous forest,temperate broadleaf or mixed forest,forest,"Quercus montana, Liriodendron tulipifera, Cornus florida"
GRSM,Temperate deciduous forest,temperate broadleaf or mixed forest,forest,"Liriodendron tulipifera, Acer rubrum, Acer pensylvanicum"
MLBS,Temperate deciduous forest,temperate broadleaf or mixed forest,forest,"Acer rubrum, Quercus alba, Acer pensylvanicum"
TALL,Temperate coniferous forest,temperate coniferous forest,forest,"Quercus montana, Liriodendron tulipifera, Cornus florida"
LENO,Temperate deciduous forest,temperate broadleaf or mixed forest,forest,"Liquidambar styraciflua, Carpinus caroliniana, Ilex decidua"
DELA,Temperate deciduous forest,temperate broadleaf or mixed forest,forest,"Celtis laevigata, Ligustrum sinense, Liquidambar styraciflua"
DCFS,Grassland,"temperate grassland, savanna and shrubland",rangeland/grassland,"Elaeagnus commutata, Poa pratensis, Crataegus chrysocarpa"
NOGP,Agricultural,"temperate grassland, savanna and shrubland",rangeland/grassland,"Poa pratensis, Symphoricarpos occidentalis, Bromus inermis"
WOOD,Agricultural,"temperate grassland, savanna and shrubland",rangeland/grassland,"Poa pratensis, Bromus inermis, Artemisia absinthium"
CPER,Grassland,"temperate grassland, savanna and shrubland",rangeland/grassland,"Bouteloua gracilis, Thelesperma filifolium, Hesperostipa comata"
STER,Agricultural,"temperate grassland, savanna and shrubland",cultivated,
RMNP,Temperate coniferous forest,temperate coniferous forest,forest,"Pinus contorta, Abies lasiocarpa, Juniperus communis"
CLBJ,Temperate deciduous forest,temperate broadleaf or mixed forest,forest,"Bothriochloa ischaemum, Quercus stellata, Schizachyrium scoparium"
OAES,Grassland,"temperate grassland, savanna and shrubland",rangeland/grassland,"Bouteloua gracilis, Aristida purpurea, Calylophus hartwegii"
YELL,Savanna,"temperate grassland, savanna and shrubland",rangeland/grassland,"Artemisia tridentata, Pseudotsuga menziesii, Eriogonum umbellatum"
NIWO,Tundra,tundra,rangeland/grassland,"Geum rossii, Minuartia obtusiloba, Carex rupestris"
