addit_contact_email,addit_contact_person,author_email,author_orcid_id,author_PersonName,bd_samp,bibliographical_reference,clim_avg_yrs,curator_email,curator_organization,curator_PersonName,eco_region,elevation,google_id,header_row,land_cover,lat,layer,location_name,long,map,mat,modification_date,NA_1,NA_2,network,ph_h2o,plant,site_code,texture_class,tx_start,tx_L1,observation_date,layer_top,layer_bot,oc,n_tot,c_to_n
lajthak@science.oregonstate.edu,Kate Lajtha,piersond@oregonstate.edu,0000-0003-3413-1693,Derek Pierson,0.82,Not yet published,1973-2002,piersond@oregonstate.edu,Oregon State University,Derek Pierson,temperate coniferous forest,531,19zB9YlT4VBSXt95do9uEPnic2Rgje_HG,1,forest,44115’N,13,H.J. Andrews,122110’W,2370,8.8,03-07-2018,blank,blank,DIRT,5.2,"Old-growth Douglas-fir (Pseudotsuga menziesii (Mirbel) Franco), western hemlock (Tsuga heterophylla (Raf.) Sarg.)",AND,loam,1997,DL,2007,0,10,4.748,0.189,25.08
lajthak@science.oregonstate.edu,Kate Lajtha,piersond@oregonstate.edu,0000-0003-3413-1693,Derek Pierson,0.82,Not yet published,1973-2002,piersond@oregonstate.edu,Oregon State University,Derek Pierson,temperate coniferous forest,531,19zB9YlT4VBSXt95do9uEPnic2Rgje_HG,1,forest,44115’N,13,H.J. Andrews,122110’W,2370,8.8,03-07-2018,blank,blank,DIRT,5.2,"Old-growth Douglas-fir (Pseudotsuga menziesii (Mirbel) Franco), western hemlock (Tsuga heterophylla (Raf.) Sarg.)",AND,loam,1997,DW,2007,0,10,6.047,0.201,30.051
lajthak@science.oregonstate.edu,Kate Lajtha,piersond@oregonstate.edu,0000-0003-3413-1693,Derek Pierson,0.82,Not yet published,1973-2002,piersond@oregonstate.edu,Oregon State University,Derek Pierson,temperate coniferous forest,531,19zB9YlT4VBSXt95do9uEPnic2Rgje_HG,1,forest,44115’N,13,H.J. Andrews,122110’W,2370,8.8,03-07-2018,blank,blank,DIRT,5.2,"Old-growth Douglas-fir (Pseudotsuga menziesii (Mirbel) Franco), western hemlock (Tsuga heterophylla (Raf.) Sarg.)",AND,loam,1997,CTL,2007,0,10,6.038,0.207,29.208
lajthak@science.oregonstate.edu,Kate Lajtha,piersond@oregonstate.edu,0000-0003-3413-1693,Derek Pierson,0.82,Not yet published,1973-2002,piersond@oregonstate.edu,Oregon State University,Derek Pierson,temperate coniferous forest,531,19zB9YlT4VBSXt95do9uEPnic2Rgje_HG,1,forest,44115’N,13,H.J. Andrews,122110’W,2370,8.8,03-07-2018,blank,blank,DIRT,5.2,"Old-growth Douglas-fir (Pseudotsuga menziesii (Mirbel) Franco), western hemlock (Tsuga heterophylla (Raf.) Sarg.)",AND,loam,1997,NI,2007,0,10,3.252,0.137,23.714
lajthak@science.oregonstate.edu,Kate Lajtha,piersond@oregonstate.edu,0000-0003-3413-1693,Derek Pierson,0.82,Not yet published,1973-2002,piersond@oregonstate.edu,Oregon State University,Derek Pierson,temperate coniferous forest,531,19zB9YlT4VBSXt95do9uEPnic2Rgje_HG,1,forest,44115’N,13,H.J. Andrews,122110’W,2370,8.8,03-07-2018,blank,blank,DIRT,5.2,"Old-growth Douglas-fir (Pseudotsuga menziesii (Mirbel) Franco), western hemlock (Tsuga heterophylla (Raf.) Sarg.)",AND,loam,1997,NL,2007,0,10,3.076,0.136,22.684
lajthak@science.oregonstate.edu,Kate Lajtha,piersond@oregonstate.edu,0000-0003-3413-1693,Derek Pierson,0.82,Not yet published,1973-2002,piersond@oregonstate.edu,Oregon State University,Derek Pierson,temperate coniferous forest,531,19zB9YlT4VBSXt95do9uEPnic2Rgje_HG,1,forest,44115’N,13,H.J. Andrews,122110’W,2370,8.8,03-07-2018,blank,blank,DIRT,5.2,"Old-growth Douglas-fir (Pseudotsuga menziesii (Mirbel) Franco), western hemlock (Tsuga heterophylla (Raf.) Sarg.)",AND,loam,1997,NR,2007,0,10,3.729,0.158,23.569
lajthak@science.oregonstate.edu,Kate Lajtha,piersond@oregonstate.edu,0000-0003-3413-1693,Derek Pierson,0.82,Not yet published,1973-2002,piersond@oregonstate.edu,Oregon State University,Derek Pierson,temperate coniferous forest,531,19zB9YlT4VBSXt95do9uEPnic2Rgje_HG,1,forest,44115’N,13,H.J. Andrews,122110’W,2370,8.8,03-07-2018,blank,blank,DIRT,5.2,"Old-growth Douglas-fir (Pseudotsuga menziesii (Mirbel) Franco), western hemlock (Tsuga heterophylla (Raf.) Sarg.)",AND,loam,1997,DL,2007,0,10,38.367,0.694,55.281
lajthak@science.oregonstate.edu,Kate Lajtha,piersond@oregonstate.edu,0000-0003-3413-1693,Derek Pierson,0.82,Not yet published,1973-2002,piersond@oregonstate.edu,Oregon State University,Derek Pierson,temperate coniferous forest,531,19zB9YlT4VBSXt95do9uEPnic2Rgje_HG,1,forest,44115’N,13,H.J. Andrews,122110’W,2370,8.8,03-07-2018,blank,blank,DIRT,5.2,"Old-growth Douglas-fir (Pseudotsuga menziesii (Mirbel) Franco), western hemlock (Tsuga heterophylla (Raf.) Sarg.)",AND,loam,1997,DW,2007,0,10,38.61,0.715,54.013
lajthak@science.oregonstate.edu,Kate Lajtha,piersond@oregonstate.edu,0000-0003-3413-1693,Derek Pierson,0.82,Not yet published,1973-2002,piersond@oregonstate.edu,Oregon State University,Derek Pierson,temperate coniferous forest,531,19zB9YlT4VBSXt95do9uEPnic2Rgje_HG,1,forest,44115’N,13,H.J. Andrews,122110’W,2370,8.8,03-07-2018,blank,blank,DIRT,5.2,"Old-growth Douglas-fir (Pseudotsuga menziesii (Mirbel) Franco), western hemlock (Tsuga heterophylla (Raf.) Sarg.)",AND,loam,1997,CTL,2007,0,10,37.037,0.684,54.155
lajthak@science.oregonstate.edu,Kate Lajtha,piersond@oregonstate.edu,0000-0003-3413-1693,Derek Pierson,0.82,Not yet published,1973-2002,piersond@oregonstate.edu,Oregon State University,Derek Pierson,temperate coniferous forest,531,19zB9YlT4VBSXt95do9uEPnic2Rgje_HG,1,forest,44115’N,13,H.J. Andrews,122110’W,2370,8.8,03-07-2018,blank,blank,DIRT,5.2,"Old-growth Douglas-fir (Pseudotsuga menziesii (Mirbel) Franco), western hemlock (Tsuga heterophylla (Raf.) Sarg.)",AND,loam,1997,NI,2007,0,10,37.352,0.679,54.994
lajthak@science.oregonstate.edu,Kate Lajtha,piersond@oregonstate.edu,0000-0003-3413-1693,Derek Pierson,0.82,Not yet published,1973-2002,piersond@oregonstate.edu,Oregon State University,Derek Pierson,temperate coniferous forest,531,19zB9YlT4VBSXt95do9uEPnic2Rgje_HG,1,forest,44115’N,13,H.J. Andrews,122110’W,2370,8.8,03-07-2018,blank,blank,DIRT,5.2,"Old-growth Douglas-fir (Pseudotsuga menziesii (Mirbel) Franco), western hemlock (Tsuga heterophylla (Raf.) Sarg.)",AND,loam,1997,NL,2007,0,10,36.5,0.675,54.085
lajthak@science.oregonstate.edu,Kate Lajtha,piersond@oregonstate.edu,0000-0003-3413-1693,Derek Pierson,0.82,Not yet published,1973-2002,piersond@oregonstate.edu,Oregon State University,Derek Pierson,temperate coniferous forest,531,19zB9YlT4VBSXt95do9uEPnic2Rgje_HG,1,forest,44115’N,13,H.J. Andrews,122110’W,2370,8.8,03-07-2018,blank,blank,DIRT,5.2,"Old-growth Douglas-fir (Pseudotsuga menziesii (Mirbel) Franco), western hemlock (Tsuga heterophylla (Raf.) Sarg.)",AND,loam,1997,NR,2007,0,10,37.743,0.705,53.544
lajthak@science.oregonstate.edu,Kate Lajtha,piersond@oregonstate.edu,0000-0003-3413-1693,Derek Pierson,0.82,Not yet published,1973-2002,piersond@oregonstate.edu,Oregon State University,Derek Pierson,temperate coniferous forest,531,19zB9YlT4VBSXt95do9uEPnic2Rgje_HG,1,forest,44115’N,13,H.J. Andrews,122110’W,2370,8.8,03-07-2018,blank,blank,DIRT,5.2,"Old-growth Douglas-fir (Pseudotsuga menziesii (Mirbel) Franco), western hemlock (Tsuga heterophylla (Raf.) Sarg.)",AND,loam,1997,DL,2007,0,10,31.11,0.638,48.779
lajthak@science.oregonstate.edu,Kate Lajtha,piersond@oregonstate.edu,0000-0003-3413-1693,Derek Pierson,0.82,Not yet published,1973-2002,piersond@oregonstate.edu,Oregon State University,Derek Pierson,temperate coniferous forest,531,19zB9YlT4VBSXt95do9uEPnic2Rgje_HG,1,forest,44115’N,13,H.J. Andrews,122110’W,2370,8.8,03-07-2018,blank,blank,DIRT,5.2,"Old-growth Douglas-fir (Pseudotsuga menziesii (Mirbel) Franco), western hemlock (Tsuga heterophylla (Raf.) Sarg.)",AND,loam,1997,DW,2007,0,10,32.377,0.788,41.082
lajthak@science.oregonstate.edu,Kate Lajtha,piersond@oregonstate.edu,0000-0003-3413-1693,Derek Pierson,0.82,Not yet published,1973-2002,piersond@oregonstate.edu,Oregon State University,Derek Pierson,temperate coniferous forest,531,19zB9YlT4VBSXt95do9uEPnic2Rgje_HG,1,forest,44115’N,13,H.J. Andrews,122110’W,2370,8.8,03-07-2018,blank,blank,DIRT,5.2,"Old-growth Douglas-fir (Pseudotsuga menziesii (Mirbel) Franco), western hemlock (Tsuga heterophylla (Raf.) Sarg.)",AND,loam,1997,CTL,2007,0,10,30.223,0.692,43.662
lajthak@science.oregonstate.edu,Kate Lajtha,piersond@oregonstate.edu,0000-0003-3413-1693,Derek Pierson,0.82,Not yet published,1973-2002,piersond@oregonstate.edu,Oregon State University,Derek Pierson,temperate coniferous forest,531,19zB9YlT4VBSXt95do9uEPnic2Rgje_HG,1,forest,44115’N,13,H.J. Andrews,122110’W,2370,8.8,03-07-2018,blank,blank,DIRT,5.2,"Old-growth Douglas-fir (Pseudotsuga menziesii (Mirbel) Franco), western hemlock (Tsuga heterophylla (Raf.) Sarg.)",AND,loam,1997,NI,2007,0,10,21.373,0.532,40.196
lajthak@science.oregonstate.edu,Kate Lajtha,piersond@oregonstate.edu,0000-0003-3413-1693,Derek Pierson,0.82,Not yet published,1973-2002,piersond@oregonstate.edu,Oregon State University,Derek Pierson,temperate coniferous forest,531,19zB9YlT4VBSXt95do9uEPnic2Rgje_HG,1,forest,44115’N,13,H.J. Andrews,122110’W,2370,8.8,03-07-2018,blank,blank,DIRT,5.2,"Old-growth Douglas-fir (Pseudotsuga menziesii (Mirbel) Franco), western hemlock (Tsuga heterophylla (Raf.) Sarg.)",AND,loam,1997,NL,2007,0,10,30.153,0.622,48.48
lajthak@science.oregonstate.edu,Kate Lajtha,piersond@oregonstate.edu,0000-0003-3413-1693,Derek Pierson,0.82,Not yet published,1973-2002,piersond@oregonstate.edu,Oregon State University,Derek Pierson,temperate coniferous forest,531,19zB9YlT4VBSXt95do9uEPnic2Rgje_HG,1,forest,44115’N,13,H.J. Andrews,122110’W,2370,8.8,03-07-2018,blank,blank,DIRT,5.2,"Old-growth Douglas-fir (Pseudotsuga menziesii (Mirbel) Franco), western hemlock (Tsuga heterophylla (Raf.) Sarg.)",AND,loam,1997,NR,2007,0,10,30.467,0.682,44.682
lajthak@science.oregonstate.edu,Kate Lajtha,piersond@oregonstate.edu,0000-0003-3413-1693,Derek Pierson,0.82,Not yet published,1973-2002,piersond@oregonstate.edu,Oregon State University,Derek Pierson,temperate coniferous forest,531,19zB9YlT4VBSXt95do9uEPnic2Rgje_HG,1,forest,44115’N,13,H.J. Andrews,122110’W,2370,8.8,03-07-2018,blank,blank,DIRT,5.2,"Old-growth Douglas-fir (Pseudotsuga menziesii (Mirbel) Franco), western hemlock (Tsuga heterophylla (Raf.) Sarg.)",AND,loam,1997,DL,2007,0,10,12.05,0.404,29.829
lajthak@science.oregonstate.edu,Kate Lajtha,piersond@oregonstate.edu,0000-0003-3413-1693,Derek Pierson,0.82,Not yet published,1973-2002,piersond@oregonstate.edu,Oregon State University,Derek Pierson,temperate coniferous forest,531,19zB9YlT4VBSXt95do9uEPnic2Rgje_HG,1,forest,44115’N,13,H.J. Andrews,122110’W,2370,8.8,03-07-2018,blank,blank,DIRT,5.2,"Old-growth Douglas-fir (Pseudotsuga menziesii (Mirbel) Franco), western hemlock (Tsuga heterophylla (Raf.) Sarg.)",AND,loam,1997,DW,2007,0,10,12.826,0.48,26.738
