addit_contact_email,addit_contact_person,author_email,author_orcid_id,author_PersonName,bd_samp,bibliographical_reference,clim_avg_yrs,curator_email,curator_organization,curator_PersonName,eco_region,elevation,google_id,header_row,land_cover,lat,layer,location_name,long,map,mat,modification_date,NA_1,NA_2,network,ph_h2o,plant,site_code,texture_class,tx_start,L1,tx_L1,observation_date,soc,n_tot,c_to_n,layer_top,layer_bot
lajthak@science.oregonstate.edu,Kate Lajtha,piersond@oregonstate.edu,0000-0003-3413-1693,Derek Pierson,0.82,Not yet published,1973-2002,piersond@oregonstate.edu,Oregon State University,Derek Pierson,temperate coniferous forest,531,1XgA_2wOjjJfQ8B5HCqAIS56PYYRkIZYf,1,forest,44115’N,13,H.J. Andrews,122110’W,2370,8.8,03-07-2018,blank,blank,DIRT,5.2,"Old-growth Douglas-fir (Pseudotsuga menziesii (Mirbel) Franco), western hemlock (Tsuga heterophylla (Raf.) Sarg.)",AND,loam,1997,1,NR,2012,7.567,0.28,27.011,0,10
lajthak@science.oregonstate.edu,Kate Lajtha,piersond@oregonstate.edu,0000-0003-3413-1693,Derek Pierson,0.82,Not yet published,1973-2002,piersond@oregonstate.edu,Oregon State University,Derek Pierson,temperate coniferous forest,531,1XgA_2wOjjJfQ8B5HCqAIS56PYYRkIZYf,1,forest,44115’N,13,H.J. Andrews,122110’W,2370,8.8,03-07-2018,blank,blank,DIRT,5.2,"Old-growth Douglas-fir (Pseudotsuga menziesii (Mirbel) Franco), western hemlock (Tsuga heterophylla (Raf.) Sarg.)",AND,loam,1997,2,DN,2012,4.701,0.182,25.858,0,10
lajthak@science.oregonstate.edu,Kate Lajtha,piersond@oregonstate.edu,0000-0003-3413-1693,Derek Pierson,0.82,Not yet published,1973-2002,piersond@oregonstate.edu,Oregon State University,Derek Pierson,temperate coniferous forest,531,1XgA_2wOjjJfQ8B5HCqAIS56PYYRkIZYf,1,forest,44115’N,13,H.J. Andrews,122110’W,2370,8.8,03-07-2018,blank,blank,DIRT,5.2,"Old-growth Douglas-fir (Pseudotsuga menziesii (Mirbel) Franco), western hemlock (Tsuga heterophylla (Raf.) Sarg.)",AND,loam,1997,3,NL,2012,6.358,0.226,28.137,0,10
lajthak@science.oregonstate.edu,Kate Lajtha,piersond@oregonstate.edu,0000-0003-3413-1693,Derek Pierson,0.82,Not yet published,1973-2002,piersond@oregonstate.edu,Oregon State University,Derek Pierson,temperate coniferous forest,531,1XgA_2wOjjJfQ8B5HCqAIS56PYYRkIZYf,1,forest,44115’N,13,H.J. Andrews,122110’W,2370,8.8,03-07-2018,blank,blank,DIRT,5.2,"Old-growth Douglas-fir (Pseudotsuga menziesii (Mirbel) Franco), western hemlock (Tsuga heterophylla (Raf.) Sarg.)",AND,loam,1997,4,NR,2012,3.592,0.132,27.249,0,10
lajthak@science.oregonstate.edu,Kate Lajtha,piersond@oregonstate.edu,0000-0003-3413-1693,Derek Pierson,0.82,Not yet published,1973-2002,piersond@oregonstate.edu,Oregon State University,Derek Pierson,temperate coniferous forest,531,1XgA_2wOjjJfQ8B5HCqAIS56PYYRkIZYf,1,forest,44115’N,13,H.J. Andrews,122110’W,2370,8.8,03-07-2018,blank,blank,DIRT,5.2,"Old-growth Douglas-fir (Pseudotsuga menziesii (Mirbel) Franco), western hemlock (Tsuga heterophylla (Raf.) Sarg.)",AND,loam,1997,5,DW,2012,4.301,0.179,23.982,0,10
lajthak@science.oregonstate.edu,Kate Lajtha,piersond@oregonstate.edu,0000-0003-3413-1693,Derek Pierson,0.82,Not yet published,1973-2002,piersond@oregonstate.edu,Oregon State University,Derek Pierson,temperate coniferous forest,531,1XgA_2wOjjJfQ8B5HCqAIS56PYYRkIZYf,1,forest,44115’N,13,H.J. Andrews,122110’W,2370,8.8,03-07-2018,blank,blank,DIRT,5.2,"Old-growth Douglas-fir (Pseudotsuga menziesii (Mirbel) Franco), western hemlock (Tsuga heterophylla (Raf.) Sarg.)",AND,loam,1997,6,NR,2012,5.936,0.251,23.65,0,10
lajthak@science.oregonstate.edu,Kate Lajtha,piersond@oregonstate.edu,0000-0003-3413-1693,Derek Pierson,0.82,Not yet published,1973-2002,piersond@oregonstate.edu,Oregon State University,Derek Pierson,temperate coniferous forest,531,1XgA_2wOjjJfQ8B5HCqAIS56PYYRkIZYf,1,forest,44115’N,13,H.J. Andrews,122110’W,2370,8.8,03-07-2018,blank,blank,DIRT,5.2,"Old-growth Douglas-fir (Pseudotsuga menziesii (Mirbel) Franco), western hemlock (Tsuga heterophylla (Raf.) Sarg.)",AND,loam,1997,7,NL,2012,5.328,0.265,20.12,0,10
lajthak@science.oregonstate.edu,Kate Lajtha,piersond@oregonstate.edu,0000-0003-3413-1693,Derek Pierson,0.82,Not yet published,1973-2002,piersond@oregonstate.edu,Oregon State University,Derek Pierson,temperate coniferous forest,531,1XgA_2wOjjJfQ8B5HCqAIS56PYYRkIZYf,1,forest,44115’N,13,H.J. Andrews,122110’W,2370,8.8,03-07-2018,blank,blank,DIRT,5.2,"Old-growth Douglas-fir (Pseudotsuga menziesii (Mirbel) Franco), western hemlock (Tsuga heterophylla (Raf.) Sarg.)",AND,loam,1997,7,NL,2012,3.648,0.18,20.292,0,10
lajthak@science.oregonstate.edu,Kate Lajtha,piersond@oregonstate.edu,0000-0003-3413-1693,Derek Pierson,0.82,Not yet published,1973-2002,piersond@oregonstate.edu,Oregon State University,Derek Pierson,temperate coniferous forest,531,1XgA_2wOjjJfQ8B5HCqAIS56PYYRkIZYf,1,forest,44115’N,13,H.J. Andrews,122110’W,2370,8.8,03-07-2018,blank,blank,DIRT,5.2,"Old-growth Douglas-fir (Pseudotsuga menziesii (Mirbel) Franco), western hemlock (Tsuga heterophylla (Raf.) Sarg.)",AND,loam,1997,8,CO,2012,6.212,0.214,29.063,0,10
lajthak@science.oregonstate.edu,Kate Lajtha,piersond@oregonstate.edu,0000-0003-3413-1693,Derek Pierson,0.82,Not yet published,1973-2002,piersond@oregonstate.edu,Oregon State University,Derek Pierson,temperate coniferous forest,531,1XgA_2wOjjJfQ8B5HCqAIS56PYYRkIZYf,1,forest,44115’N,13,H.J. Andrews,122110’W,2370,8.8,03-07-2018,blank,blank,DIRT,5.2,"Old-growth Douglas-fir (Pseudotsuga menziesii (Mirbel) Franco), western hemlock (Tsuga heterophylla (Raf.) Sarg.)",AND,loam,1997,9,OA,2012,1.856,0.058,31.759,0,10
